country,food_category,consumption,co2_emmission
Maldives,»Æ¶¹,0.2,0.09
Maldives,¼á¹û,15.83,28.02
Cyprus,ÖíÈâ,38.38,135.85
Cyprus,¼ÒÇİ,24.45,26.26
Cyprus,Å£Èâ,5.79,178.67
Cyprus,ÑòÈâ,5.05,176.85
Cyprus,ÓãÈâ,14.86,23.73
Cyprus,¼¦µ°,8.98,8.25
Cyprus,Å£ÄÌ,113.31,161.4
Cyprus,Ğ¡Âó,83.25,15.88
Cyprus,´óÃ×,4.94,6.32
Cyprus,»Æ¶¹,0.04,0.02
Cyprus,¼á¹û,4.6,8.14
Serbia,ÖíÈâ,32.04,113.41
Serbia,¼ÒÇİ,10.64,11.43
Serbia,Å£Èâ,7.05,217.55
Serbia,ÑòÈâ,3.56,124.67
Serbia,ÓãÈâ,5.59,8.93
Serbia,¼¦µ°,8.89,8.17
Serbia,Å£ÄÌ,148.53,211.57
Serbia,Ğ¡Âó,105.88,20.19
Serbia,´óÃ×,1.22,1.56
Serbia,»Æ¶¹,0,0
Serbia,¼á¹û,3.31,5.86
United Arab Emirates,ÖíÈâ,0,0
United Arab Emirates,¼ÒÇİ,41.04,44.09
United Arab Emirates,Å£Èâ,5.64,174.04
United Arab Emirates,ÑòÈâ,9.08,317.98
United Arab Emirates,ÓãÈâ,20.41,32.59
United Arab Emirates,¼¦µ°,8.23,7.56
United Arab Emirates,Å£ÄÌ,132.66,188.96
United Arab Emirates,Ğ¡Âó,101.29,19.32
United Arab Emirates,´óÃ×,56.25,71.98
United Arab Emirates,»Æ¶¹,0.08,0.04
United Arab Emirates,¼á¹û,23.03,40.76
Algeria,ÖíÈâ,0,0
Algeria,¼ÒÇİ,7.42,7.97
Algeria,Å£Èâ,5.6,172.8
Algeria,ÑòÈâ,7.69,269.3
Algeria,ÓãÈâ,3.74,5.97
Algeria,¼¦µ°,8.06,7.4
Algeria,Å£ÄÌ,141.53,201.6
Algeria,Ğ¡Âó,185.42,35.36
Algeria,´óÃ×,2.97,3.8
Algeria,»Æ¶¹,0,0
Algeria,¼á¹û,2.08,3.68
Ukraine,ÖíÈâ,20.56,72.77
Ukraine,¼ÒÇİ,24.23,26.03
Ukraine,Å£Èâ,8.96,276.49
Ukraine,ÑòÈâ,0.41,14.36
Ukraine,ÓãÈâ,15.23,24.32
Ukraine,¼¦µ°,18.01,16.54
Ukraine,Å£ÄÌ,145.03,206.58
Ukraine,Ğ¡Âó,105.15,20.05
Ukraine,´óÃ×,3,3.84
Ukraine,»Æ¶¹,0.02,0.01
Ukraine,¼á¹û,2.68,4.74
Pakistan,ÖíÈâ,0,0
Pakistan,¼ÒÇİ,5.01,5.38
Pakistan,Å£Èâ,8.82,272.17
Pakistan,ÑòÈâ,2.46,86.15
Pakistan,ÓãÈâ,1.87,2.99
Pakistan,¼¦µ°,2.95,2.71
Pakistan,Å£ÄÌ,183.13,260.85
Pakistan,Ğ¡Âó,113.63,21.67
Pakistan,´óÃ×,12.25,15.68
Pakistan,»Æ¶¹,0,0
Pakistan,¼á¹û,0.83,1.47
Swaziland,ÖíÈâ,2.43,8.6
Swaziland,¼ÒÇİ,6.18,6.64
Swaziland,Å£Èâ,15.1,465.95
Swaziland,ÑòÈâ,1.94,67.94
Swaziland,ÓãÈâ,1.26,2.01
Swaziland,¼¦µ°,1.5,1.38
Swaziland,Å£ÄÌ,56.6,80.62
Swaziland,Ğ¡Âó,37.15,7.08
Swaziland,´óÃ×,21.15,27.07
Swaziland,»Æ¶¹,0.55,0.25
Swaziland,¼á¹û,6.44,11.4
Latvia,ÖíÈâ,34.96,123.74
Latvia,¼ÒÇİ,20.53,22.05
Latvia,Å£Èâ,5.11,157.68
Latvia,ÑòÈâ,0.34,11.91
Latvia,ÓãÈâ,21.3,34.01
Latvia,¼¦µ°,14.03,12.89
Latvia,Å£ÄÌ,174.11,248
Latvia,Ğ¡Âó,72.13,13.76
Latvia,´óÃ×,2.21,2.83
Latvia,»Æ¶¹,0.04,0.02
Latvia,¼á¹û,3.78,6.69
Bosnia and Herzegovina,ÖíÈâ,9.38,33.2
Bosnia and Herzegovina,¼ÒÇİ,13.17,14.15
Bosnia and Herzegovina,Å£Èâ,9.12,281.42
Bosnia and Herzegovina,ÑòÈâ,0.47,16.46
Bosnia and Herzegovina,ÓãÈâ,4.06,6.48
Bosnia and Herzegovina,¼¦µ°,4.49,4.12
Bosnia and Herzegovina,Å£ÄÌ,174.03,247.89
Bosnia and Herzegovina,Ğ¡Âó,93.56,17.84
Bosnia and Herzegovina,´óÃ×,1.88,2.41
Bosnia and Herzegovina,»Æ¶¹,1.48,0.67
Bosnia and Herzegovina,¼á¹û,2,3.54
Fiji,ÖíÈâ,4.31,15.26
Fiji,¼ÒÇİ,20.26,21.76
Fiji,Å£Èâ,8.96,276.49
Fiji,ÑòÈâ,5.9,206.62
Fiji,ÓãÈâ,35.01,55.9
Fiji,¼¦µ°,6.44,5.92
Fiji,Å£ÄÌ,40.2,57.26
Fiji,Ğ¡Âó,84.22,16.06
Fiji,´óÃ×,45.62,58.38
Fiji,»Æ¶¹,0.3,0.14
Fiji,¼á¹û,1.3,2.3
South Korea,ÖíÈâ,32.76,115.95
South Korea,¼ÒÇİ,16,17.19
South Korea,Å£Èâ,14.53,448.37
South Korea,ÑòÈâ,0.14,4.9
South Korea,ÓãÈâ,33.09,52.83
South Korea,¼¦µ°,11.24,10.33
South Korea,Å£ÄÌ,29.05,41.38
South Korea,Ğ¡Âó,50.84,9.7
South Korea,´óÃ×,85.18,109
South Korea,»Æ¶¹,8.35,3.76
South Korea,¼á¹û,4.88,8.64
Poland,ÖíÈâ,46.19,163.49
Poland,¼ÒÇİ,27.41,29.44
Poland,Å£Èâ,2.32,71.59
Poland,ÑòÈâ,0.02,0.7
Poland,ÓãÈâ,10.49,16.75
Poland,¼¦µ°,7.53,6.92
Poland,Å£ÄÌ,205.39,292.56
Poland,Ğ¡Âó,108.83,20.75
Poland,´óÃ×,0.95,1.22
Poland,»Æ¶¹,0.06,0.03
Poland,¼á¹û,2.23,3.95
Saudi Arabia,ÖíÈâ,0,0
Saudi Arabia,¼ÒÇİ,49.05,52.69
Saudi Arabia,Å£Èâ,6.45,199.03
Saudi Arabia,ÑòÈâ,6.54,229.03
Saudi Arabia,ÓãÈâ,11.99,19.14
Saudi Arabia,¼¦µ°,5.37,4.93
Saudi Arabia,Å£ÄÌ,83.65,119.15
Saudi Arabia,Ğ¡Âó,89.47,17.06
Saudi Arabia,´óÃ×,36.02,46.09
Saudi Arabia,»Æ¶¹,0.05,0.02
Saudi Arabia,¼á¹û,3.23,5.72
Botswana,ÖíÈâ,0.74,2.62
Botswana,¼ÒÇİ,5.33,5.73
Botswana,Å£Èâ,7.85,242.23
Botswana,ÑòÈâ,3.76,131.67
Botswana,ÓãÈâ,3.98,6.35
Botswana,¼¦µ°,1.95,1.79
Botswana,Å£ÄÌ,117.74,167.71
Botswana,Ğ¡Âó,38.2,7.28
Botswana,´óÃ×,7.06,9.03
Botswana,»Æ¶¹,1.16,0.52
Botswana,¼á¹û,1.08,1.91
Macedonia,ÖíÈâ,10.35,36.63
Macedonia,¼ÒÇİ,18.77,20.16
Macedonia,Å£Èâ,7.69,237.3
Macedonia,ÑòÈâ,0.94,32.92
Macedonia,ÓãÈâ,5.47,8.73
Macedonia,¼¦µ°,6.38,5.86
Macedonia,Å£ÄÌ,157.93,224.96
Macedonia,Ğ¡Âó,104.8,19.99
Macedonia,´óÃ×,2.81,3.6
Macedonia,»Æ¶¹,0.46,0.21
Macedonia,¼á¹û,5.87,10.39
Hungary,ÖíÈâ,34.93,123.63
Hungary,¼ÒÇİ,23.78,25.54
Hungary,Å£Èâ,4.96,153.06
Hungary,ÑòÈâ,0.11,3.85
Hungary,ÓãÈâ,4.93,7.87
Hungary,¼¦µ°,12.45,11.44
Hungary,Å£ÄÌ,159.05,226.55
Hungary,Ğ¡Âó,109.98,20.97
Hungary,´óÃ×,2.15,2.75
Hungary,»Æ¶¹,0.01,0
Hungary,¼á¹û,0.64,1.13
Trinidad and Tobago,ÖíÈâ,8.92,31.57
Trinidad and Tobago,¼ÒÇİ,58.27,62.59
Trinidad and Tobago,Å£Èâ,6.13,189.16
Trinidad and Tobago,ÑòÈâ,2.79,97.71
Trinidad and Tobago,ÓãÈâ,20.54,32.8
Trinidad and Tobago,¼¦µ°,4.2,3.86
Trinidad and Tobago,Å£ÄÌ,103.8,147.85
Trinidad and Tobago,Ğ¡Âó,90.17,17.2
Trinidad and Tobago,´óÃ×,16.38,20.96
Trinidad and Tobago,»Æ¶¹,0.04,0.02
Trinidad and Tobago,¼á¹û,3.78,6.69
Tunisia,ÖíÈâ,0,0
Tunisia,¼ÒÇİ,18.5,19.87
Tunisia,Å£Èâ,5.53,170.64
Tunisia,ÑòÈâ,5.34,187.01
Tunisia,ÓãÈâ,12.63,20.17
Tunisia,¼¦µ°,7.67,7.05
Tunisia,Å£ÄÌ,114.47,163.05
Tunisia,Ğ¡Âó,197.5,37.66
Tunisia,´óÃ×,1.07,1.37
Tunisia,»Æ¶¹,1.88,0.85
Tunisia,¼á¹û,6.34,11.22
Egypt,ÖíÈâ,0.02,0.07
Egypt,¼ÒÇİ,14.43,15.5
Egypt,Å£Èâ,12.88,397.45
Egypt,ÑòÈâ,1.58,55.33
Egypt,ÓãÈâ,21.46,34.26
Egypt,¼¦µ°,4.59,4.22
Egypt,Å£ÄÌ,59.46,84.69
Egypt,Ğ¡Âó,146.83,28
Egypt,´óÃ×,39.77,50.89
Egypt,»Æ¶¹,0.64,0.29
Egypt,¼á¹û,1.82,3.22
Mauritius,ÖíÈâ,4.08,14.44
Mauritius,¼ÒÇİ,38.51,41.37
Mauritius,Å£Èâ,5.99,184.84
Mauritius,ÑòÈâ,4.08,142.88
Mauritius,ÓãÈâ,19.66,31.39
Mauritius,¼¦µ°,6.32,5.81
Mauritius,Å£ÄÌ,117.27,167.04
Mauritius,Ğ¡Âó,114.02,21.74
Mauritius,´óÃ×,45.56,58.3
Mauritius,»Æ¶¹,0.3,0.14
Mauritius,¼á¹û,2.33,4.12
Bulgaria,ÖíÈâ,26.26,92.95
Bulgaria,¼ÒÇİ,20.68,22.21
Bulgaria,Å£Èâ,3.84,118.49
Bulgaria,ÑòÈâ,1.63,57.08
Bulgaria,ÓãÈâ,6.24,9.96
Bulgaria,¼¦µ°,8.36,7.68
Bulgaria,Å£ÄÌ,155.71,221.79
Bulgaria,Ğ¡Âó,121.17,23.11
Bulgaria,´óÃ×,2.24,2.87
Bulgaria,»Æ¶¹,0.04,0.02
Bulgaria,¼á¹û,2.26,4
Morocco,ÖíÈâ,0.01,0.04
Morocco,¼ÒÇİ,20.77,22.31
Morocco,Å£Èâ,8.04,248.1
Morocco,ÑòÈâ,4.36,152.69
Morocco,ÓãÈâ,17.44,27.85
Morocco,¼¦µ°,6.68,6.14
Morocco,Å£ÄÌ,54.68,77.89
Morocco,Ğ¡Âó,179.7,34.27
Morocco,´óÃ×,1.1,1.41
Morocco,»Æ¶¹,0,0
Morocco,¼á¹û,3.23,5.72
Slovakia,ÖíÈâ,31.78,112.49
Slovakia,¼ÒÇİ,15.13,16.25
Slovakia,Å£Èâ,5.19,160.15
Slovakia,ÑòÈâ,0.16,5.6
Slovakia,ÓãÈâ,8.39,13.4
Slovakia,¼¦µ°,16.05,14.74
Slovakia,Å£ÄÌ,143.14,203.89
Slovakia,Ğ¡Âó,123.62,23.57
Slovakia,´óÃ×,2.88,3.69
Slovakia,»Æ¶¹,0.02,0.01
Slovakia,¼á¹û,3.7,6.55
Niger,ÖíÈâ,0.09,0.32
Niger,¼ÒÇİ,1.08,1.16
Niger,Å£Èâ,8.97,276.8
Niger,ÑòÈâ,4.17,146.03
Niger,ÓãÈâ,2.7,4.31
Niger,¼¦µ°,0.3,0.28
Niger,Å£ÄÌ,58.92,83.93
Niger,Ğ¡Âó,4.79,0.91
Niger,´óÃ×,13.17,16.85
Niger,»Æ¶¹,0,0
Niger,¼á¹û,6.95,12.3
Kenya,ÖíÈâ,0.29,1.03
Kenya,¼ÒÇİ,0.47,0.5
Kenya,Å£Èâ,9.54,294.38
Kenya,ÑòÈâ,1.86,65.14
Kenya,ÓãÈâ,4.27,6.82
Kenya,¼¦µ°,1.84,1.69
Kenya,Å£ÄÌ,94.86,135.12
Kenya,Ğ¡Âó,34.65,6.61
Kenya,´óÃ×,12.94,16.56
Kenya,»Æ¶¹,0.2,0.09
Kenya,¼á¹û,1.64,2.9
Jordan,ÖíÈâ,0.02,0.07
Jordan,¼ÒÇİ,33.39,35.87
Jordan,Å£Èâ,5.61,173.11
Jordan,ÑòÈâ,5.68,198.91
Jordan,ÓãÈâ,5.13,8.19
Jordan,¼¦µ°,3.92,3.6
Jordan,Å£ÄÌ,77.68,110.65
Jordan,Ğ¡Âó,136.74,26.08
Jordan,´óÃ×,19.67,25.17
Jordan,»Æ¶¹,0.02,0.01
Jordan,¼á¹û,3.56,6.3
Japan,ÖíÈâ,20.62,72.98
Japan,¼ÒÇİ,19.42,20.86
Japan,Å£Èâ,9.15,282.35
Japan,ÑòÈâ,0.14,4.9
Japan,ÓãÈâ,31.1,49.66
Japan,¼¦µ°,19.15,17.59
Japan,Å£ÄÌ,72.06,102.64
Japan,Ğ¡Âó,45.04,8.59
Japan,´óÃ×,59.85,76.59
Japan,»Æ¶¹,7.34,3.3
Japan,¼á¹û,2.59,4.58
Georgia,ÖíÈâ,8.93,31.61
Georgia,¼ÒÇİ,12.28,13.19
Georgia,Å£Èâ,6.04,186.38
Georgia,ÑòÈâ,0.63,22.06
Georgia,ÓãÈâ,10.42,16.64
Georgia,¼¦µ°,6.12,5.62
Georgia,Å£ÄÌ,149.26,212.61
Georgia,Ğ¡Âó,163.43,31.17
Georgia,´óÃ×,2.64,3.38
Georgia,»Æ¶¹,0,0
Georgia,¼á¹û,2.47,4.37
Grenada,ÖíÈâ,11.52,40.78
Grenada,¼ÒÇİ,43.51,46.74
Grenada,Å£Èâ,3.46,106.77
Grenada,ÑòÈâ,1.25,43.77
Grenada,ÓãÈâ,27.95,44.63
Grenada,¼¦µ°,10.34,9.5
Grenada,Å£ÄÌ,86.88,123.75
Grenada,Ğ¡Âó,59.59,11.36
Grenada,´óÃ×,9.56,12.23
Grenada,»Æ¶¹,0.01,0
Grenada,¼á¹û,0.18,0.32
El Salvador,ÖíÈâ,3.23,11.43
El Salvador,¼ÒÇİ,19.84,21.31
El Salvador,Å£Èâ,5.95,183.6
El Salvador,ÑòÈâ,0.02,0.7
El Salvador,ÓãÈâ,6.25,9.98
El Salvador,¼¦µ°,9.51,8.74
El Salvador,Å£ÄÌ,124.34,177.11
El Salvador,Ğ¡Âó,28.19,5.38
El Salvador,´óÃ×,10.53,13.48
El Salvador,»Æ¶¹,0.8,0.36
El Salvador,¼á¹û,1.1,1.95
Cuba,ÖíÈâ,19.82,70.15
Cuba,¼ÒÇİ,20.15,21.65
Cuba,Å£Èâ,6.39,197.18
Cuba,ÑòÈâ,1.24,43.42
Cuba,ÓãÈâ,4.76,7.6
Cuba,¼¦µ°,9.82,9.02
Cuba,Å£ÄÌ,99.94,142.35
Cuba,Ğ¡Âó,54.62,10.42
Cuba,´óÃ×,67.7,86.64
Cuba,»Æ¶¹,6.34,2.85
Cuba,¼á¹û,0.23,0.41
China,ÖíÈâ,38.43,136.02
China,¼ÒÇİ,13.2,14.18
China,Å£Èâ,5.12,157.99
China,ÑòÈâ,3.13,109.61
China,ÓãÈâ,21.01,33.55
China,¼¦µ°,18.76,17.23
China,Å£ÄÌ,32.66,46.52
China,Ğ¡Âó,63.36,12.08
China,´óÃ×,78.18,100.05
China,»Æ¶¹,3.66,1.65
China,¼á¹û,6.39,11.31
Honduras,ÖíÈâ,6.48,22.94
Honduras,¼ÒÇİ,20.29,21.8
Honduras,Å£Èâ,7.19,221.87
Honduras,ÑòÈâ,0.04,1.4
Honduras,ÓãÈâ,2.7,4.31
Honduras,¼¦µ°,5.19,4.77
Honduras,Å£ÄÌ,91.33,130.09
Honduras,Ğ¡Âó,37.36,7.12
Honduras,´óÃ×,14.42,18.45
Honduras,»Æ¶¹,0.01,0
Honduras,¼á¹û,0.75,1.33
Taiwan. ROC,ÖíÈâ,39.37,139.35
Taiwan. ROC,¼ÒÇİ,32.13,34.51
Taiwan. ROC,Å£Èâ,5.21,160.77
Taiwan. ROC,ÑòÈâ,0.92,32.22
Taiwan. ROC,ÓãÈâ,18.29,29.2
Taiwan. ROC,¼¦µ°,13.08,12.02
Taiwan. ROC,Å£ÄÌ,41.72,59.43
Taiwan. ROC,Ğ¡Âó,50.92,9.71
Taiwan. ROC,´óÃ×,45.85,58.67
Taiwan. ROC,»Æ¶¹,16.95,7.63
Taiwan. ROC,¼á¹û,9.06,16.04
Angola,ÖíÈâ,8.89,31.47
Angola,¼ÒÇİ,17.33,18.62
Angola,Å£Èâ,8.42,259.82
Angola,ÑòÈâ,1.08,37.82
Angola,ÓãÈâ,15.24,24.33
Angola,¼¦µ°,1.11,1.02
Angola,Å£ÄÌ,12.3,17.52
Angola,Ğ¡Âó,40.72,7.77
Angola,´óÃ×,8.12,10.39
Angola,»Æ¶¹,0.52,0.23
Angola,¼á¹û,2.26,4
Jamaica,ÖíÈâ,3.99,14.12
Jamaica,¼ÒÇİ,52.51,56.41
Jamaica,Å£Èâ,3.97,122.51
Jamaica,ÑòÈâ,1.26,44.13
Jamaica,ÓãÈâ,21.95,35.05
Jamaica,¼¦µ°,2.27,2.09
Jamaica,Å£ÄÌ,91.13,129.81
Jamaica,Ğ¡Âó,70.67,13.48
Jamaica,´óÃ×,23.45,30.01
Jamaica,»Æ¶¹,0,0
Jamaica,¼á¹û,1.82,3.22
Namibia,ÖíÈâ,4.21,14.9
Namibia,¼ÒÇİ,12.19,13.09
Namibia,Å£Èâ,3.75,115.72
Namibia,ÑòÈâ,2.27,79.5
Namibia,ÓãÈâ,10.7,17.08
Namibia,¼¦µ°,1.63,1.5
Namibia,Å£ÄÌ,73.05,104.05
Namibia,Ğ¡Âó,36.26,6.91
Namibia,´óÃ×,6.31,8.07
Namibia,»Æ¶¹,0.07,0.03
Namibia,¼á¹û,0.71,1.26
Belize,ÖíÈâ,16.8,59.46
Belize,¼ÒÇİ,28.31,30.41
Belize,Å£Èâ,4.86,149.97
Belize,ÑòÈâ,0.14,4.9
Belize,ÓãÈâ,7.57,12.09
Belize,¼¦µ°,4.85,4.46
Belize,Å£ÄÌ,80.3,114.38
Belize,Ğ¡Âó,54.06,10.31
Belize,´óÃ×,28.42,36.37
Belize,»Æ¶¹,1.88,0.85
Belize,¼á¹û,5.58,9.88
Malaysia,ÖíÈâ,7.76,27.47
Malaysia,¼ÒÇİ,41.01,44.05
Malaysia,Å£Èâ,6.52,201.19
Malaysia,ÑòÈâ,0.94,32.92
Malaysia,ÓãÈâ,49.43,78.92
Malaysia,¼¦µ°,16.57,15.22
Malaysia,Å£ÄÌ,25.28,36.01
Malaysia,Ğ¡Âó,51.04,9.73
Malaysia,´óÃ×,81.25,103.98
Malaysia,»Æ¶¹,0.04,0.02
Malaysia,¼á¹û,2.9,5.13
Zimbabwe,ÖíÈâ,2.65,9.38
Zimbabwe,¼ÒÇİ,4.97,5.34
Zimbabwe,Å£Èâ,7.37,227.42
Zimbabwe,ÑòÈâ,0.96,33.62
Zimbabwe,ÓãÈâ,2.8,4.47
Zimbabwe,¼¦µ°,1.75,1.61
Zimbabwe,Å£ÄÌ,31.9,45.44
Zimbabwe,Ğ¡Âó,31.31,5.97
Zimbabwe,´óÃ×,10.09,12.91
Zimbabwe,»Æ¶¹,0.54,0.24
Zimbabwe,¼á¹û,2.22,3.93
Guatemala,ÖíÈâ,4.85,17.17
Guatemala,¼ÒÇİ,16.45,17.67
Guatemala,Å£Èâ,5.6,172.8
Guatemala,ÑòÈâ,0.23,8.05
Guatemala,ÓãÈâ,1.08,1.72
Guatemala,¼¦µ°,14.61,13.42
Guatemala,Å£ÄÌ,46.6,66.38
Guatemala,Ğ¡Âó,35.9,6.85
Guatemala,´óÃ×,5.66,7.24
Guatemala,»Æ¶¹,0.32,0.14
Guatemala,¼á¹û,2,3.54
Uganda,ÖíÈâ,3.37,11.93
Uganda,¼ÒÇİ,1.51,1.62
Uganda,Å£Èâ,5.15,158.92
Uganda,ÑòÈâ,1.25,43.77
Uganda,ÓãÈâ,12.5,19.96
Uganda,¼¦µ°,0.97,0.89
Uganda,Å£ÄÌ,37.27,53.09
Uganda,Ğ¡Âó,10.14,1.93
Uganda,´óÃ×,4.64,5.94
Uganda,»Æ¶¹,0.01,0
Uganda,¼á¹û,3.77,6.67
Nepal,ÖíÈâ,0.67,2.37
Nepal,¼ÒÇİ,1.56,1.68
Nepal,Å£Èâ,7.89,243.47
Nepal,ÑòÈâ,2.1,73.54
Nepal,ÓãÈâ,2.17,3.46
Nepal,¼¦µ°,1.42,1.3
Nepal,Å£ÄÌ,52.1,74.21
Nepal,Ğ¡Âó,50.46,9.62
Nepal,´óÃ×,87.75,112.29
Nepal,»Æ¶¹,0.01,0
Nepal,¼á¹û,2.42,4.28
Iran,ÖíÈâ,0,0
Iran,¼ÒÇİ,25.38,27.26
Iran,Å£Èâ,3.58,110.47
Iran,ÑòÈâ,3.69,129.22
Iran,ÓãÈâ,9.8,15.65
Iran,¼¦µ°,7.7,7.07
Iran,Å£ÄÌ,46.69,66.51
Iran,Ğ¡Âó,153.31,29.24
Iran,´óÃ×,29.95,38.33
Iran,»Æ¶¹,0,0
Iran,¼á¹û,12.16,21.52
Tanzania,ÖíÈâ,0.32,1.13
Tanzania,¼ÒÇİ,1.84,1.98
Tanzania,Å£Èâ,6.09,187.92
Tanzania,ÑòÈâ,1.28,44.83
Tanzania,ÓãÈâ,5.5,8.78
Tanzania,¼¦µ°,0.58,0.53
Tanzania,Å£ÄÌ,40.29,57.39
Tanzania,Ğ¡Âó,15.94,3.04
Tanzania,´óÃ×,21.01,26.89
Tanzania,»Æ¶¹,0.04,0.02
Tanzania,¼á¹û,5.94,10.51
Senegal,ÖíÈâ,0.94,3.33
Senegal,¼ÒÇİ,4.62,4.96
Senegal,Å£Èâ,5.85,180.52
Senegal,ÑòÈâ,3.19,111.71
Senegal,ÓãÈâ,22.94,36.63
Senegal,¼¦µ°,1.63,1.5
Senegal,Å£ÄÌ,16.86,24.02
Senegal,Ğ¡Âó,37.32,7.12
Senegal,´óÃ×,72.29,92.51
Senegal,»Æ¶¹,0,0
Senegal,¼á¹û,4.03,7.13
Peru,ÖíÈâ,3.85,13.63
Peru,¼ÒÇİ,11.72,12.59
Peru,Å£Èâ,4.69,144.72
Peru,ÑòÈâ,1,35.02
Peru,ÓãÈâ,15.74,25.13
Peru,¼¦µ°,8.76,8.05
Peru,Å£ÄÌ,62.15,88.53
Peru,Ğ¡Âó,56.12,10.7
Peru,´óÃ×,48.92,62.6
Peru,»Æ¶¹,1.59,0.72
Peru,¼á¹û,0.65,1.15
Nicaragua,ÖíÈâ,3.38,11.96
Nicaragua,¼ÒÇİ,21.31,22.89
Nicaragua,Å£Èâ,4.73,145.96
Nicaragua,ÑòÈâ,0.01,0.35
Nicaragua,ÓãÈâ,3.59,5.73
Nicaragua,¼¦µ°,4.9,4.5
Nicaragua,Å£ÄÌ,85.16,121.3
Nicaragua,Ğ¡Âó,28.17,5.37
Nicaragua,´óÃ×,43.33,55.45
Nicaragua,»Æ¶¹,0.01,0
Nicaragua,¼á¹û,2.36,4.18
Vietnam,ÖíÈâ,35,123.88
Vietnam,¼ÒÇİ,12.36,13.28
Vietnam,Å£Èâ,7.44,229.58
Vietnam,ÑòÈâ,0.14,4.9
Vietnam,ÓãÈâ,26.52,42.34
Vietnam,¼¦µ°,3.84,3.53
Vietnam,Å£ÄÌ,16.36,23.3
Vietnam,Ğ¡Âó,10.49,2
Vietnam,´óÃ×,144.56,184.99
Vietnam,»Æ¶¹,5.75,2.59
Vietnam,¼á¹û,6.28,11.12
Ethiopia,ÖíÈâ,0.02,0.07
Ethiopia,¼ÒÇİ,0.66,0.71
Ethiopia,Å£Èâ,3.61,111.4
Ethiopia,ÑòÈâ,1.57,54.98
Ethiopia,ÓãÈâ,0.24,0.38
Ethiopia,¼¦µ°,0.36,0.33
Ethiopia,Å£ÄÌ,44.14,62.87
Ethiopia,Ğ¡Âó,31.26,5.96
Ethiopia,´óÃ×,2.25,2.88
Ethiopia,»Æ¶¹,0.45,0.2
Ethiopia,¼á¹û,1.21,2.14
Myanmar,ÖíÈâ,11.31,40.03
Myanmar,¼ÒÇİ,21.87,23.49
Myanmar,Å£Èâ,4.94,152.44
Myanmar,ÑòÈâ,0.89,31.17
Myanmar,ÓãÈâ,54.26,86.64
Myanmar,¼¦µ°,6.45,5.92
Myanmar,Å£ÄÌ,31.48,44.84
Myanmar,Ğ¡Âó,6.22,1.19
Myanmar,´óÃ×,132.8,169.94
Myanmar,»Æ¶¹,0.38,0.17
Myanmar,¼á¹û,4.5,7.97
Congo,ÖíÈâ,2.39,8.46
Congo,¼ÒÇİ,13.02,13.99
Congo,Å£Èâ,4.35,134.23
Congo,ÑòÈâ,0.4,14.01
Congo,ÓãÈâ,26.22,41.86
Congo,¼¦µ°,0.6,0.55
Congo,Å£ÄÌ,10.69,15.23
Congo,Ğ¡Âó,40.07,7.64
Congo,´óÃ×,16.51,21.13
Congo,»Æ¶¹,0,0
Congo,¼á¹û,3.08,5.45
Zambia,ÖíÈâ,1.66,5.88
Zambia,¼ÒÇİ,3.29,3.53
Zambia,Å£Èâ,4.76,146.88
Zambia,ÑòÈâ,0.68,23.81
Zambia,ÓãÈâ,6.2,9.9
Zambia,¼¦µ°,3.32,3.05
Zambia,Å£ÄÌ,9.71,13.83
Zambia,Ğ¡Âó,12.1,2.31
Zambia,´óÃ×,3.05,3.9
Zambia,»Æ¶¹,7.3,3.29
Zambia,¼á¹û,5.04,8.92
Cameroon,ÖíÈâ,1.47,5.2
Cameroon,¼ÒÇİ,3.29,3.53
Cameroon,Å£Èâ,4.17,128.68
Cameroon,ÑòÈâ,1.4,49.03
Cameroon,ÓãÈâ,14.71,23.49
Cameroon,¼¦µ°,0.4,0.37
Cameroon,Å£ÄÌ,15.27,21.75
Cameroon,Ğ¡Âó,22.6,4.31
Cameroon,´óÃ×,23.85,30.52
Cameroon,»Æ¶¹,0.64,0.29
Cameroon,¼á¹û,9.29,16.44
Madagascar,ÖíÈâ,2.56,9.06
Madagascar,¼ÒÇİ,3.14,3.37
Madagascar,Å£Èâ,7.51,231.74
Madagascar,ÑòÈâ,0.57,19.96
Madagascar,ÓãÈâ,4.41,7.04
Madagascar,¼¦µ°,0.71,0.65
Madagascar,Å£ÄÌ,24.84,35.38
Madagascar,Ğ¡Âó,9.01,1.72
Madagascar,´óÃ×,102.53,131.21
Madagascar,»Æ¶¹,0,0
Madagascar,¼á¹û,0.35,0.62
Malawi,ÖíÈâ,5.45,19.29
Malawi,¼ÒÇİ,1.38,1.48
Malawi,Å£Èâ,2.35,72.52
Malawi,ÑòÈâ,2.07,72.49
Malawi,ÓãÈâ,7.33,11.7
Malawi,¼¦µ°,1.08,0.99
Malawi,Å£ÄÌ,7.98,11.37
Malawi,Ğ¡Âó,11.77,2.24
Malawi,´óÃ×,4.75,6.08
Malawi,»Æ¶¹,1.76,0.79
Malawi,¼á¹û,5.08,8.99
Guinea,ÖíÈâ,0.16,0.57
Guinea,¼ÒÇİ,1.83,1.97
Guinea,Å£Èâ,6.26,193.17
Guinea,ÑòÈâ,1.6,56.03
Guinea,ÓãÈâ,9.18,14.66
Guinea,¼¦µ°,1.95,1.79
Guinea,Å£ÄÌ,20.62,29.37
Guinea,Ğ¡Âó,18.55,3.54
Guinea,´óÃ×,97.12,124.28
