country,food_category,consumption,co2_emmission
Bermuda,¼¦µ°,14.92,13.71
Bermuda,Å£ÄÌ,95.56,136.12
Bermuda,Ğ¡Âó,54.88,10.47
Bermuda,´óÃ×,5.38,6.88
Bermuda,»Æ¶¹,0.22,0.1
Bermuda,¼á¹û,5.72,10.12
Denmark,ÖíÈâ,24.87,88.03
Denmark,¼ÒÇİ,26.75,28.73
Denmark,Å£Èâ,28.46,878.22
Denmark,ÑòÈâ,0.92,32.22
Denmark,ÓãÈâ,16.49,26.33
Denmark,¼¦µ°,15.35,14.1
Denmark,Å£ÄÌ,277.3,394.99
Denmark,Ğ¡Âó,98,18.69
Denmark,´óÃ×,4.96,6.35
Denmark,»Æ¶¹,0.03,0.01
Denmark,¼á¹û,5.94,10.51
Finland,ÖíÈâ,36.14,127.92
Finland,¼ÒÇİ,19.87,21.34
Finland,Å£Èâ,19.22,593.09
Finland,ÑòÈâ,0.53,18.56
Finland,ÓãÈâ,33.8,53.97
Finland,¼¦µ°,9.55,8.77
Finland,Å£ÄÌ,430.76,613.57
Finland,Ğ¡Âó,81.99,15.64
Finland,´óÃ×,4.42,5.66
Finland,»Æ¶¹,0.08,0.04
Finland,¼á¹û,3.43,6.07
Ireland,ÖíÈâ,32.4,114.68
Ireland,¼ÒÇİ,26.26,28.21
Ireland,Å£Èâ,22.35,689.67
Ireland,ÑòÈâ,4.1,143.58
Ireland,ÓãÈâ,17.39,27.77
Ireland,¼¦µ°,8.96,8.23
Ireland,Å£ÄÌ,291.86,415.73
Ireland,Ğ¡Âó,107.98,20.59
Ireland,´óÃ×,3,3.84
Ireland,»Æ¶¹,0.25,0.11
Ireland,¼á¹û,4.1,7.26
Greece,ÖíÈâ,28.31,100.2
Greece,¼ÒÇİ,15.74,16.91
Greece,Å£Èâ,16.1,496.81
Greece,ÑòÈâ,12.47,436.7
Greece,ÓãÈâ,14.42,23.02
Greece,¼¦µ°,10.13,9.31
Greece,Å£ÄÌ,255.26,363.59
Greece,Ğ¡Âó,124.04,23.65
Greece,´óÃ×,6.64,8.5
Greece,»Æ¶¹,0.02,0.01
Greece,¼á¹û,10.5,18.59
France,ÖíÈâ,33.05,116.98
France,¼ÒÇİ,22.93,24.63
France,Å£Èâ,23.81,734.73
France,ÑòÈâ,3.28,114.87
France,ÓãÈâ,22.91,36.58
France,¼¦µ°,13.13,12.06
France,Å£ÄÌ,241.31,343.72
France,Ğ¡Âó,108.43,20.68
France,´óÃ×,4.88,6.24
France,»Æ¶¹,0.05,0.02
France,¼á¹û,5.39,9.54
Canada,ÖíÈâ,22.81,80.74
Canada,¼ÒÇİ,36.68,39.4
Canada,Å£Èâ,30.25,933.45
Canada,ÑòÈâ,0.97,33.97
Canada,ÓãÈâ,14.56,23.25
Canada,¼¦µ°,12.95,11.9
Canada,Å£ÄÌ,187.77,267.46
Canada,Ğ¡Âó,84.96,16.2
Canada,´óÃ×,12.65,16.19
Canada,»Æ¶¹,0.94,0.42
Canada,¼á¹û,8.01,14.18
Norway,ÖíÈâ,23.51,83.21
Norway,¼ÒÇİ,21.01,22.57
Norway,Å£Èâ,19.83,611.91
Norway,ÑòÈâ,5.34,187.01
Norway,ÓãÈâ,38.18,60.96
Norway,¼¦µ°,11.41,10.48
Norway,Å£ÄÌ,261.34,372.25
Norway,Ğ¡Âó,97.12,18.52
Norway,´óÃ×,4.36,5.58
Norway,»Æ¶¹,0.11,0.05
Norway,¼á¹û,5.28,9.35
Hong Kong SAR. China,ÖíÈâ,67.11,237.54
Hong Kong SAR. China,¼ÒÇİ,54.86,58.93
Hong Kong SAR. China,Å£Èâ,25.82,796.75
Hong Kong SAR. China,ÑòÈâ,2.22,77.74
Hong Kong SAR. China,ÓãÈâ,42.44,67.76
Hong Kong SAR. China,¼¦µ°,14.5,13.32
Hong Kong SAR. China,Å£ÄÌ,105.85,150.77
Hong Kong SAR. China,Ğ¡Âó,53.14,10.13
Hong Kong SAR. China,´óÃ×,43.48,55.64
Hong Kong SAR. China,»Æ¶¹,2.79,1.26
Hong Kong SAR. China,¼á¹û,13.81,24.44
French Polynesia,ÖíÈâ,14.75,52.21
French Polynesia,¼ÒÇİ,49.55,53.23
French Polynesia,Å£Èâ,30.9,953.51
French Polynesia,ÑòÈâ,2.83,99.11
French Polynesia,ÓãÈâ,38.95,62.19
French Polynesia,¼¦µ°,8.75,8.04
French Polynesia,Å£ÄÌ,93.56,133.27
French Polynesia,Ğ¡Âó,68.67,13.1
French Polynesia,´óÃ×,35.59,45.54
French Polynesia,»Æ¶¹,0.77,0.35
French Polynesia,¼á¹û,2.34,4.14
Israel,ÖíÈâ,1.99,7.04
Israel,¼ÒÇİ,62.5,67.14
Israel,Å£Èâ,28.78,888.09
Israel,ÑòÈâ,1.87,65.49
Israel,ÓãÈâ,22.18,35.41
Israel,¼¦µ°,11.35,10.43
Israel,Å£ÄÌ,193.6,275.76
Israel,Ğ¡Âó,110.86,21.14
Israel,´óÃ×,16.81,21.51
Israel,»Æ¶¹,0.1,0.05
Israel,¼á¹û,7.71,13.65
Switzerland,ÖíÈâ,31.49,111.46
Switzerland,¼ÒÇİ,16.38,17.6
Switzerland,Å£Èâ,21.26,656.04
Switzerland,ÑòÈâ,1.42,49.73
Switzerland,ÓãÈâ,13.48,21.52
Switzerland,¼¦µ°,10.53,9.67
Switzerland,Å£ÄÌ,318.69,453.94
Switzerland,Ğ¡Âó,89.51,17.07
Switzerland,´óÃ×,2.43,3.11
Switzerland,»Æ¶¹,0.44,0.2
Switzerland,¼á¹û,9.27,16.41
Netherlands,ÖíÈâ,36.36,128.7
Netherlands,¼ÒÇİ,23.9,25.67
Netherlands,Å£Èâ,17.67,545.26
Netherlands,ÑòÈâ,0.94,32.92
Netherlands,ÓãÈâ,18.64,29.76
Netherlands,¼¦µ°,14.03,12.89
Netherlands,Å£ÄÌ,341.47,486.39
